16:13:12.352 [main] INFO  org.fasttrackittrainingjavawon3.springuniversityapp.SpringUniversityAppApplication - Starting SpringUniversityAppApplication using Java 16.0.1 on DESKTOP-GH0R16B with PID 3696 (D:\spring-university-app\spring-university-app\build\classes\java\main started by Ale in D:\spring-university-app\spring-university-app) <no request,no span> 
16:13:12.361 [main] INFO  org.fasttrackittrainingjavawon3.springuniversityapp.SpringUniversityAppApplication - No active profile set, falling back to default profiles: default <no request,no span> 
16:13:14.997 [main] DEBUG com.zaxxer.hikari.HikariConfig - Driver class org.postgresql.Driver found in Thread context class loader jdk.internal.loader.ClassLoaders$AppClassLoader@73d16e93 <no request,no span> 
16:13:15.452 [main] DEBUG com.zaxxer.hikari.HikariConfig - HikariPool-1 - configuration: <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - allowPoolSuspension................................false <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - autoCommit................................true <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - catalog................................none <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - connectionInitSql................................none <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - connectionTestQuery................................none <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - connectionTimeout................................30000 <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - dataSource................................none <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - dataSourceClassName................................none <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - dataSourceJNDI................................none <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - dataSourceProperties................................{password=<masked>} <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - driverClassName................................"org.postgresql.Driver" <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - exceptionOverrideClassName................................none <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - healthCheckProperties................................{} <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - healthCheckRegistry................................none <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - idleTimeout................................600000 <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - initializationFailTimeout................................1 <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - isolateInternalQueries................................false <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - jdbcUrl................................jdbc:postgresql://localhost:5432/university-db <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - keepaliveTime................................0 <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - leakDetectionThreshold................................0 <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - maxLifetime................................1800000 <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - maximumPoolSize................................10 <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - metricRegistry................................none <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - metricsTrackerFactory................................none <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - minimumIdle................................10 <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - password................................<masked> <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - poolName................................"HikariPool-1" <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - readOnly................................false <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - registerMbeans................................false <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - scheduledExecutor................................none <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - schema................................none <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - threadFactory................................internal <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - transactionIsolation................................default <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - username................................"postgres" <no request,no span> 
16:13:15.460 [main] DEBUG com.zaxxer.hikari.HikariConfig - validationTimeout................................5000 <no request,no span> 
16:13:15.460 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... <no request,no span> 
16:13:15.633 [main] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@54387873 <no request,no span> 
16:13:15.633 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. <no request,no span> 
16:13:15.739 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Pool stats (total=1, active=1, idle=0, waiting=0) <no request,no span> 
16:13:15.773 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@111e5887 <no request,no span> 
16:13:15.801 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@541cd4c0 <no request,no span> 
16:13:15.839 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@63b455c <no request,no span> 
16:13:15.863 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@34332b8f <no request,no span> 
16:13:15.904 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@331a47e2 <no request,no span> 
16:13:16.053 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@41f260a1 <no request,no span> 
16:13:16.095 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@1d3fcc66 <no request,no span> 
16:13:16.128 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@307df31d <no request,no span> 
16:13:16.152 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@51b987a7 <no request,no span> 
16:13:16.160 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - After adding stats (total=10, active=0, idle=10, waiting=0) <no request,no span> 
16:13:17.236 [main] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning <no request,no span> 
16:13:18.601 [main] INFO  org.fasttrackittrainingjavawon3.springuniversityapp.SpringUniversityAppApplication - Started SpringUniversityAppApplication in 6.641 seconds (JVM running for 7.23) <no request,no span> 
16:13:48.085 [main] INFO  org.fasttrackittrainingjavawon3.springuniversityapp.SpringUniversityAppApplication - Starting SpringUniversityAppApplication using Java 16.0.1 on DESKTOP-GH0R16B with PID 25332 (D:\spring-university-app\spring-university-app\build\classes\java\main started by Ale in D:\spring-university-app\spring-university-app) <no request,no span> 
16:13:48.086 [main] INFO  org.fasttrackittrainingjavawon3.springuniversityapp.SpringUniversityAppApplication - No active profile set, falling back to default profiles: default <no request,no span> 
16:13:50.688 [main] DEBUG com.zaxxer.hikari.HikariConfig - Driver class org.postgresql.Driver found in Thread context class loader jdk.internal.loader.ClassLoaders$AppClassLoader@73d16e93 <no request,no span> 
16:13:51.174 [main] DEBUG com.zaxxer.hikari.HikariConfig - HikariPool-1 - configuration: <no request,no span> 
16:13:51.174 [main] DEBUG com.zaxxer.hikari.HikariConfig - allowPoolSuspension................................false <no request,no span> 
16:13:51.174 [main] DEBUG com.zaxxer.hikari.HikariConfig - autoCommit................................true <no request,no span> 
16:13:51.174 [main] DEBUG com.zaxxer.hikari.HikariConfig - catalog................................none <no request,no span> 
